 ,Mean,StdDev,IntDen,RawIntDen,Slice,microns
122,31.521,14.901,31555.740,11379.000,122,335.552
123,32.584,15.821,32620.632,11763.000,123,338.325
124,32.723,13.353,32759.290,11813.000,124,341.098
125,32.801,12.296,32836.938,11841.000,125,343.871
126,33.435,14.521,33471.991,12070.000,126,346.644
127,34.485,19.200,34523.017,12449.000,127,349.418
128,35.211,21.843,35249.584,12711.000,128,352.191
129,35.285,21.752,35324.459,12738.000,129,354.964
130,33.903,23.087,33940.654,12239.000,130,357.737
131,30.884,23.598,30917.915,11149.000,131,360.510
132,26.501,21.081,26530.782,9567.000,132,363.283
133,21.939,16.029,21963.394,7920.000,133,366.057
134,18.967,13.992,18987.798,6847.000,134,368.830
135,17.560,14.164,17579.035,6339.000,135,371.603
136,16.850,12.313,16869.107,6083.000,136,374.376
137,16.399,9.807,16417.083,5920.000,137,377.149
138,15.867,8.731,15884.637,5728.000,138,379.922
139,15.008,9.841,15024.958,5418.000,139,382.696
140,13.975,10.611,13990.571,5045.000,140,385.469
141,12.446,8.623,12459.789,4493.000,141,388.242
142,10.548,5.754,10560.177,3808.000,142,391.015
143,8.812,3.809,8821.409,3181.000,143,393.788
144,7.737,3.349,7745.424,2793.000,144,396.561
