 ,Mean,StdDev,IntDen,RawIntDen
1,27.027,15.043,1900534.605,247131
2,31.068,17.878,2184733.093,284086
3,30.571,19.764,2149803.326,279544
4,22.760,15.799,1600501.598,208117
5,16.557,12.584,1164310.176,151398
