 ,Mean,StdDev,IntDen,RawIntDen
1,38.778,20.916,2726921.206,354588
2,46.470,26.440,3267832.715,424924
3,51.162,24.709,3597742.900,467823
4,51.471,24.093,3619460.571,470647
5,30.299,16.494,2130623.485,277050
