 ,Mean,StdDev,IntDen,RawIntDen,Slice,microns
93,7.795,3.119,7803.661,2814.000,93,255.130
94,7.875,3.238,7884.082,2843.000,94,257.903
95,7.934,3.696,7942.318,2864.000,95,260.677
96,7.850,3.026,7859.124,2834.000,96,263.450
97,7.778,2.614,7787.022,2808.000,97,266.223
98,7.756,2.443,7764.836,2800.000,98,268.996
99,7.637,2.095,7645.591,2757.000,99,271.769
100,7.518,2.683,7526.345,2714.000,100,274.542
101,7.374,2.492,7382.141,2662.000,101,277.316
102,7.255,1.838,7262.895,2619.000,102,280.089
103,7.227,1.736,7235.164,2609.000,103,282.862
104,7.091,1.824,7099.279,2560.000,104,285.635
105,7.042,1.674,7049.362,2542.000,105,288.408
106,6.909,1.314,6916.251,2494.000,106,291.181
107,6.967,1.227,6974.487,2515.000,107,293.955
108,7.033,1.245,7041.043,2539.000,108,296.728
109,7.058,1.247,7066.001,2548.000,109,299.501
110,7.022,1.282,7029.950,2535.000,110,302.274
111,7.058,1.267,7066.001,2548.000,111,305.047
112,7.166,1.333,7174.154,2587.000,112,307.820
113,7.280,1.523,7287.854,2628.000,113,310.593
114,7.327,1.394,7334.997,2645.000,114,313.367
115,7.266,1.143,7273.988,2623.000,115,316.140
116,7.260,1.080,7268.441,2621.000,116,318.913
117,7.238,1.035,7246.256,2613.000,117,321.686
118,7.213,1.205,7221.298,2604.000,118,324.459
119,7.191,1.432,7199.113,2596.000,119,327.232
120,7.280,1.826,7287.854,2628.000,120,330.006
121,7.510,2.954,7518.026,2711.000,121,332.779
122,7.657,4.435,7665.003,2764.000,122,335.552
123,7.645,4.344,7653.910,2760.000,123,338.325
124,7.673,2.967,7681.642,2770.000,124,341.098
125,7.587,2.088,7595.674,2739.000,125,343.871
126,7.501,1.692,7509.706,2708.000,126,346.644
127,7.374,1.580,7382.141,2662.000,127,349.418
128,7.391,1.605,7398.780,2668.000,128,352.191
129,7.526,1.695,7534.664,2717.000,129,354.964
130,7.717,1.969,7726.012,2786.000,130,357.737
131,7.784,2.171,7792.568,2810.000,131,360.510
132,7.709,2.235,7717.693,2783.000,132,363.283
133,7.615,2.285,7623.405,2749.000,133,366.057
134,7.496,2.426,7504.160,2706.000,134,368.830
135,7.463,2.779,7470.882,2694.000,135,371.603
136,7.468,3.119,7476.428,2696.000,136,374.376
137,7.454,3.215,7462.562,2691.000,137,377.149
138,7.493,3.395,7501.387,2705.000,138,379.922
139,7.618,4.030,7626.179,2750.000,139,382.696
140,7.909,5.062,7917.360,2855.000,140,385.469
141,8.139,5.836,8147.532,2938.000,141,388.242
142,8.136,5.895,8144.759,2937.000,142,391.015
143,7.864,5.645,7872.989,2839.000,143,393.788
144,7.371,5.295,7379.368,2661.000,144,396.561
