 ,Mean,StdDev,IntDen,RawIntDen,Slice,microns
1,4.147,1.042,4151.414,1497.000,1,0.000
2,4.175,1.167,4179.146,1507.000,2,2.773
3,4.338,1.259,4342.762,1566.000,3,5.546
4,4.557,1.355,4561.841,1645.000,4,8.319
5,4.778,1.401,4783.694,1725.000,5,11.093
6,4.895,1.489,4900.166,1767.000,6,13.866
7,4.983,1.447,4988.907,1799.000,7,16.639
8,5.177,1.517,5183.028,1869.000,8,19.412
9,5.280,1.573,5285.635,1906.000,9,22.185
10,5.321,1.630,5327.232,1921.000,10,24.958
11,5.266,1.604,5271.769,1901.000,11,27.732
12,5.199,1.470,5205.214,1877.000,12,30.505
13,5.158,1.392,5163.616,1862.000,13,33.278
14,5.202,1.393,5207.987,1878.000,14,36.051
15,5.271,1.364,5277.316,1903.000,15,38.824
16,5.391,1.493,5396.561,1946.000,16,41.597
17,5.612,1.909,5618.414,2026.000,17,44.370
18,5.886,2.294,5892.956,2125.000,18,47.144
19,5.837,2.147,5843.039,2107.000,19,49.917
20,5.704,1.904,5709.928,2059.000,20,52.690
21,5.765,2.050,5770.937,2081.000,21,55.463
22,5.931,2.064,5937.327,2141.000,22,58.236
23,6.039,1.790,6045.480,2180.000,23,61.009
24,6.150,1.732,6156.406,2220.000,24,63.783
25,6.330,1.925,6336.661,2285.000,25,66.556
26,6.601,2.427,6608.430,2383.000,26,69.329
27,6.795,2.634,6802.551,2453.000,27,72.102
28,6.820,2.339,6827.510,2462.000,28,74.875
29,6.903,2.273,6910.704,2492.000,29,77.648
30,7.177,2.582,7185.247,2591.000,30,80.422
31,7.546,2.884,7554.077,2724.000,31,83.195
32,7.886,3.177,7895.175,2847.000,32,85.968
33,8.230,3.473,8239.046,2971.000,33,88.741
34,8.504,3.560,8513.588,3070.000,34,91.514
35,8.756,3.679,8765.946,3161.000,35,94.287
36,8.953,4.031,8962.840,3232.000,36,97.060
37,9.141,4.346,9151.414,3300.000,37,99.834
38,9.418,4.607,9428.730,3400.000,38,102.607
39,9.756,4.910,9767.055,3522.000,39,105.380
40,10.230,5.715,10241.265,3693.000,40,108.153
41,10.645,6.712,10657.238,3843.000,41,110.926
42,10.956,7.439,10967.831,3955.000,42,113.699
43,11.540,8.000,11552.967,4166.000,43,116.473
44,12.177,8.122,12190.793,4396.000,44,119.246
45,12.463,7.665,12476.428,4499.000,45,122.019
46,12.305,7.180,12318.358,4442.000,46,124.792
47,12.075,6.901,12088.186,4359.000,47,127.565
48,12.197,8.055,12210.205,4403.000,48,130.338
49,12.717,11.361,12731.559,4591.000,49,133.111
50,13.205,13.397,13219.634,4767.000,50,135.885
51,13.130,12.067,13144.759,4740.000,51,138.658
52,13.000,10.871,13014.420,4693.000,52,141.431
53,13.033,11.084,13047.698,4705.000,53,144.204
54,12.856,10.875,12870.216,4641.000,54,146.977
55,12.474,9.259,12487.521,4503.000,55,149.750
56,12.374,7.990,12387.687,4467.000,56,152.524
57,12.612,8.152,12626.179,4553.000,57,155.297
58,13.111,7.786,13125.347,4733.000,58,158.070
59,13.792,8.080,13807.543,4979.000,59,160.843
60,14.213,8.377,14229.063,5131.000,60,163.616
61,14.280,8.468,14295.618,5155.000,61,166.389
62,14.488,9.742,14503.605,5230.000,62,169.163
63,14.861,12.745,14877.981,5365.000,63,171.936
64,15.460,15.900,15476.983,5581.000,64,174.709
65,16.017,17.483,16034.387,5782.000,65,177.482
66,15.812,16.872,15829.174,5708.000,66,180.255
67,14.518,13.929,14534.110,5241.000,67,183.028
68,12.889,9.863,12903.494,4653.000,68,185.801
69,11.659,7.064,11672.213,4209.000,69,188.575
70,10.762,5.876,10773.710,3885.000,70,191.348
71,10.382,5.365,10393.788,3748.000,71,194.121
72,10.150,4.996,10160.843,3664.000,72,196.894
73,9.756,4.439,9767.055,3522.000,73,199.667
74,9.438,3.835,9448.142,3407.000,74,202.440
75,9.186,3.095,9195.785,3316.000,75,205.214
76,8.812,2.521,8821.409,3181.000,76,207.987
77,8.382,2.184,8391.570,3026.000,77,210.760
78,8.039,1.843,8047.698,2902.000,78,213.533
79,7.839,1.637,7848.031,2830.000,79,216.306
80,7.723,1.522,7731.559,2788.000,80,219.079
81,7.723,1.601,7731.559,2788.000,81,221.852
82,7.861,2.158,7870.216,2838.000,82,224.626
83,7.936,2.456,7945.092,2865.000,83,227.399
84,7.809,2.355,7817.526,2819.000,84,230.172
85,7.651,1.912,7659.456,2762.000,85,232.945
86,7.601,1.873,7609.540,2744.000,86,235.718
87,7.601,2.007,7609.540,2744.000,87,238.491
88,7.524,2.048,7531.891,2716.000,88,241.265
89,7.490,2.407,7498.613,2704.000,89,244.038
90,7.637,2.822,7645.591,2757.000,90,246.811
91,7.823,3.145,7831.392,2824.000,91,249.584
92,7.837,3.237,7845.258,2829.000,92,252.357
