 ,Mean,StdDev,IntDen,RawIntDen,Slice,microns
122,53.305,23.625,53363.838,19243.000,122,335.552
123,53.573,26.241,53632.834,19340.000,123,338.325
124,53.922,27.721,53982.252,19466.000,124,341.098
125,53.657,26.492,53716.029,19370.000,125,343.871
126,51.861,24.054,51919.024,18722.000,126,346.644
127,50.867,24.270,50923.461,18363.000,127,349.418
128,49.759,25.396,49814.199,17963.000,128,352.191
129,48.532,25.342,48585.691,17520.000,129,354.964
130,46.742,23.705,46794.232,16874.000,130,357.737
131,44.623,22.814,44672.768,16109.000,131,360.510
132,42.922,22.002,42970.050,15495.000,132,363.283
133,40.900,19.960,40945.646,14765.000,133,366.057
134,38.632,16.638,38674.432,13946.000,134,368.830
135,36.515,15.843,36555.740,13182.000,135,371.603
136,34.884,15.462,34922.352,12593.000,136,374.376
137,33.765,15.473,33801.997,12189.000,137,377.149
138,32.490,16.344,32526.345,11729.000,138,379.922
139,31.690,17.820,31724.903,11440.000,139,382.696
140,30.363,16.737,30396.561,10961.000,140,385.469
141,28.501,15.333,28533.001,10289.000,141,388.242
142,26.989,14.566,27018.857,9743.000,142,391.015
143,25.914,13.894,25942.873,9355.000,143,393.788
144,25.302,15.418,25330.006,9134.000,144,396.561
